channel_title,total_likes,total_dislikes,total_views,total_trending_videos
alt-J,83637,3529,2769646,7
Alto's Adventure,18160,696,1025636,7
Amanda Palmer,3177,18,57481,2
AmandaMoor & Craft Ideas,1184,177,64719,4
Amarullah Rizky,117,0,30801,3
AmazingPhil,2568964,14077,18201915,14
amazon,55167,5648,27952435,10
Amazon Studios,14788,2424,8395216,17
Amazon.co.uk,1023,795,438045,5
Amber Liu,133164,187,772801,5
Amber Scholl,484143,17107,9165810,25
amc,45526,9013,4046703,12
Amelia Liana,5692,176,186306,3
American Bridge 21st Century,0,0,22690,1
Anaki Abo,1211,72,358597,1
Andre Black Nerd,83196,4371,1407282,18
ANDREW HUANG,198077,1869,2790190,21
Andrew Lowe,238733,48881,4520045,7
Andrew Rowland,25226,1812,1888321,5
Andy Grammer,2926,53,74566,2
Anew Start,24311,729,2082164,6
Animal Adventure Park,28921,2492,1038309,9
Animal Planet,21621,1430,1418374,7
Anna Akana,426006,6123,5389630,27
Anna Saccone,214565,4808,4962538,5
AnselElgortVEVO,625267,7688,7590243,6
Anthem Lights,30696,264,624703,5
AnthonyPadilla,996237,27526,13416350,49
AntsCanada,202769,8642,4622106,6
Anwar Jibawi,2951427,88025,74444019,42
Any rubbish,6,0,14014,3
Apple,269589,44526,14352460,13
Apple Support,807,53,90362,5
Applied Science,25019,191,365461,7
Architectural Digest,36034,3072,2892284,5
Arden Rose,53343,1456,963110,10
ARIKITCHEN (Ã¬â€¢â€žÃ«Â¦Â¬Ã­â€šÂ¤Ã¬Â¹Å“),33176,569,1120759,4
AsapSCIENCE,1368720,68153,34023108,39
Asian Boss,24443,1072,801140,6
ASMR Darling,193252,12182,7316390,7
Associated Press,1773,2219,287119,21
Asthmatic Kitty Records,28629,1216,1839807,6
astroboy1960,67,2,30858,2
AT&T,137488,802,2673056,5
Atlanta Hawks,57,0,9202,3
Atlantic Records,1470879,19914,38120643,45
ATPWorldTour,5103,55,171452,3
Attaullah Malik,81153,40794,14177068,8
Audience Network,15,0,35543,3
Aunty Donna,44027,446,613206,6
Auralnauts,7254,153,140784,2
Austin Burk,684,31,45967,6
Austin Evans,561064,22287,16373151,35
austinmcconnell,122426,3276,2042338,13
Australia,46680,2283,6365560,9
Australian Open TV,72708,2737,9035474,17
AutoGuide.com,1524,209,164656,3
automotivemaster1972,29,6,14131,6
AviciiOfficialVEVO,481308,8542,12421837,6
Avocado,91724,4000,6245242,2
Avocados From Mexico,1033,57,2867651,4
Awkward Puppets,168148,2691,3193367,6
Aymeric Favard,553,37,86075,5
BÃƒËœRNSmusicVEVO,459687,8275,7190304,14
Bachelor Nation on ABC,738,636,261065,7
BachelorsPadTv,168751,5037,5489920,6
BaconLegs,29674,1415,1330172,6
Bad Lip Reading,4025700,145038,131462037,40
BAFTA,513,7,24248,1
Banana Culture Music,148481,1120,2661336,2
BANGTANTV,1838340,4881,10902829,5
Barcroft Animals,6713,128,245627,9
Barn Sanctuary,1125,17,308985,2
Barstool Sports,1226,153,168760,7
Battle Universe!,123459,9575,9051461,11
BBC,223842,54469,15051323,25
BBC America,16065,346,461086,9
BBC Earth,109219,5351,6482422,40
BBC Music,76625,2872,3293506,3
BBC News,213617,34179,23850270,54
BBC Radio 1,1965306,26127,53244375,47
BBC Three,238701,8215,10911332,18
BBCRadio1VEVO,51883,1897,1738414,13
Be Amazed,7616,483,350207,5
Beats 1 Radio,11479,543,905033,11
Beats by Dre,7824,158,2152261,1
Bebe Rexha,78342,2124,1353367,4
BeckVEVO,48760,2655,2386317,7
Bee Ly TV,55,6,7083,3
BehindTheSounds,1876,16,347321,4
BellaThorneVEVO,62285,3313,1260240,6
BellatorMMA,4016,603,2517679,2
Beme News,58492,2689,1201075,10
Ben Actis,177936,5027,10455839,8
Ben Pluimer,599086,38222,42801449,13
Ben Rohrbach,339,302,89113,5
Benn and Gear,1023,24,57047,2
BenTheBondsman,77479,6298,4722506,8
BeOurGuest,15690,2104,513554,5
Berd,226961,3636,3123806,14
BerkleyLovesTori,8545,279,1405747,7
Bethany Mota,350466,5592,5849270,5
Bethel Music,49201,848,1257393,7
BETNetworks,21972,5435,1143074,8
Beyonce,124775,12779,9578073,5
Beyond The Trailer,16615,3713,879400,7
BeyondSlowMotion,310,12,12468,1
Big Cat Rescue,9783,168,197455,5
Big Marvel,667748,8101,7323283,15
Big Ten Network,2044,285,416925,5
bigclivedotcom,4185,44,101100,2
Bill Gates,58536,2437,1435079,6
bill wurtz,4069015,103699,43814313,23
Billboard,3249132,54810,59406754,39
Billboard News,328,50,15451,4
Billions,9144,317,804500,4
Billy Graham Evangelistic Association,2475,284,35053,1
Binging with Babish,1432297,26105,43740776,42
Bini the Bunny,2246,10,26102,1
Birdbox Studio,1174,32,22695,1
bitluni's lab,771,5,10891,1
BjÃƒÂ¶rk,220151,8272,4003900,23
Bkav Corp,5231,1803,2247876,2
blackbearVEVO,231273,1546,2822309,4
BLACKPINK,802500,9542,16524026,5
BleachersVEVO,26971,464,692242,6
Bleecker Street,64924,15828,34262015,16
Blockbuster,40,79,12609,1
Blonded,556951,13839,13899991,7
Bloomberg,827,103,50503,2
Bloomberg Politics,720,487,64316,6
Blue Origin,37653,1192,2118215,8
Blurred Culture,5149,4095,1005042,6
blvck King,1166,15,110416,3
BMW USA,24937,720,3174474,3
Bob Przybylo,90,42,73390,6
Bobby Duke Arts,702499,14237,14353823,14
Boldly,1171038,100315,43947889,16
Bon AppÃƒÂ©tit,918806,36260,39802953,71
boogie2988,1984398,95802,29282299,13
BostonDynamics,2844037,79542,130744978,20
Brad Mondo,114125,3684,2854513,10
BrantleyGilbertVEVO,60376,1744,2363589,7
BrasherN,189475,14022,14114169,7
Brat,533320,9997,20658205,7
Brave Wilderness,2389896,43885,74584387,35
Bravo,5592,409,1072149,5
Braxen McConnell,1174,95,46980,5
Breakfast Club Power 105.1 FM,381402,70963,28257462,38
BreakingBenjaminVEVO,181868,3789,4019099,5
Brent Pella,274595,15864,10586842,8
Bret Baier,7850,5972,820339,7
BrettYoungVEVO,13966,398,333558,4
Brian Hull,235820,8511,7407313,24
Brian Klug,3908,61,302393,6
BrianJustinCrum,1666,36,27010,1
BRIGHT SIDE,150531,15062,6582622,5
Brothers Green Eats,1991,83,77630,1
Bruce Land,3287,4273,500381,6
Bruno Mars,9402010,312545,213126073,15
BTS Videos,477,200,153341,1
Bud Light,201106,57749,104489909,7
Budweiser,42793,8015,28592638,7
BUILD Series,20477,242,663095,11
Bundesliga,10632,108,230864,2
BURGER KING,831997,64635,26169061,8
Business Insider,33463,3305,2195754,33
Business Insider UK,1257,3885,593058,13
Business InsiderAu,182,70,61875,5
"But First, Coffee",277413,3914,6073847,3
Butch Hartman,1649625,43127,42233867,21
Buttered Side Down,117246,4794,3132338,19
BuzzFeed Celeb,279600,14553,10812563,11
BuzzFeed Nifty,72363,9355,3672371,24
BuzzFeedBlue,169841,106768,12339070,15
BuzzFeedVideo,1303726,93699,54433004,63
ByronTalbott,40310,2247,1243787,14
C-SPAN,128922,42182,7308845,28
CAguileraVEVO,21932,5805,1030676,8
CalumScottVEVO,1236302,9073,23905628,16
Calvin Klein,105134,82794,55096553,5
CalvinHarrisVEVO,314279,51238,12113607,10
Cam'ron,37779,11405,4193017,5
Camila Cabello,1799657,20901,17817374,15
CamilaCabelloVEVO,4482901,52573,70049199,17
Campari,964,314,368741,3
Campo Santo Productions,44630,11647,1935545,7
CamVEVO,41021,3766,2507442,9
Canada Soccer,908,97,126927,3
Candide Thovex,214914,2168,6997284,6
Capital FM,369558,22626,10317977,9
CaptainDisillusion,286255,2143,2554074,9
Car Commercials of the Past,88,3,19021,4
Car Throttle,42373,911,1308578,5
Caravan Carolyn,0,0,97321,4
Cardi B,3646518,197480,129689285,14
Cards Against Humanity,175327,59321,9186934,8
Carla Resendiz,185342,7813,6692044,8
Carlos Campos,7,0,15245,4
Carly and Erin,41384,449,452549,5
carrieunderwoodVEVO,128758,7542,6677347,6
Cartoon Hangover,5006,1168,131083,2
Casey Holmes,223191,4725,4099561,16
CaseyNeistat,7341925,384955,164914790,52
Caspar,195410,1707,1336644,5
Casually Explained,720633,23196,16086205,7
Cat Man Chris,102434,9931,4812051,12
Catch-Up TV,714,1099,50019,2
CatCreature,129765,675,1093311,12
Caterham Cars,22,1,4850,1
Caters Clips,211,65,90454,1
CatPusic,106025,619,1859327,4
CBC News,19705,1795,3508302,10
CBS,2868,552,173252,7
CBS Chicago,1251,131,135585,6
CBS Evening News,8091,849,1607245,10
CBS Films,5393,446,11322404,4
CBS Los Angeles,18264,2715,3194316,43
CBS Miami,65,13,11104,6
CBS New York,61007,3336,4489513,13
CBS News,103465,69761,19322495,55
CBS Philly,248,42,70221,3
CBS Sunday Morning,10217,536,3450547,12
CBS This Morning,90625,117590,15691125,55
CFL Insider,1901,145,228099,5
CGP Grey,1703372,11371,15155292,10
cgriesemer,967,48,332627,6
Chad Kroeger,5657,68,412812,1
ChainsmokersVEVO,4956244,199030,118870020,21
ChangeofplanZ,29799,2923,2826033,6
Channel 4,568,15,73387,3
Channel Awesome,331902,14462,10333649,18
Channon Rose Vlogs,22238,210,340859,3
Chappell Roan,692,4,96111,3
Charles Chan,30,7,12515,1
Charlie Puth,1298131,17329,21127388,12
CHauserable,6,3,1807,1
Check It Out,3192,1146,894787,1
Chevrolet,2388,298,312930,4
Chicago Sun-Times,1995,1934,337585,7
Chili Klaus,24120,1419,2343247,3
Chilly Willy,222630,3373,13124922,8
Chloe x Halle,283755,15513,6178272,17
ChloexHalleVEVO,2836,33,43072,4
Choir! Choir! Choir!,6645,101,376955,4
Chris and Jack,12968,138,242990,2
Chris Hadfield's Rare Earth,13876,429,269507,5
chris lee,9093,225,1225703,6
Chris Reinacher,29581,3031,527908,8
Chris Rosa,145685,11643,14377600,5
Chris Smoove,234262,6051,10949107,17
Chris Stuckmann,467820,27330,12599925,20
Chris Sturgeon,18,0,3438,1
Chris Turner,49172,1249,2791032,7
CHRIS-RS,400509,3929,12914827,6
ChrisBrownVEVO,320166,7963,9361727,7
Chriselle Lim,4091,362,102062,3
ChrisStapletonVEVO,108845,4652,5720718,20
Christen Dominique,300986,3027,3208887,7
Christine Sydelko,231634,2149,3204278,6
Christopher Davis,5349,359,503761,7
Chubbyemu,68254,2745,1988301,3
ChvrchesVEVO,57615,2207,2033978,6
cicigoodies2011,2315,88,109664,6
CinemaSins,2451131,145488,98660965,57
cineytele,13729,85,467030,2
CIRCUITBEARD,14,0,3114,1
Circus HalliGalli,5570,539,770855,4
CityNews Toronto,46,10,34133,1
Clark Zhu,493,39,49596,4
Cleveland Browns,22,2,2416,2
Cleveland Cavaliers on cleveland.com,1556,676,458973,6
Clevver News,102030,30498,13265810,28
Clevver Style,151741,10546,7445122,14
Cloth Map,16071,86,223952,3
clothesencounters,165667,3885,4009016,16
ClovesVEVO,1769,20,30260,1
CMAVEVO,1445,202,159222,3
CNBC,22482,6360,4586065,28
CNET,64903,3353,3021717,24
CNLohr,522,2,5224,1
CNN,255152,133352,24910046,85
CNNMoney,89298,4799,5385040,14
Cobra Kai,139713,13440,18277184,6
Coca-Cola,5003,2889,2559038,4
cocheusadoooo,1108,144,489259,3
Cody'sBLab,60451,449,926065,7
Cody'sLab,79293,1908,2892443,8
Cody'sLab Backup,21818,190,342379,5
CoinDaddy,139,7,9577,1
ColdFusion,145640,1707,2249459,8
Cole and Marmalade,269551,5147,6205719,16
colinfurze,433190,7288,9909809,12
Colleen Ballinger,483422,17501,12948464,8
Colleen Vlogs,319544,19024,10127882,19
CollegeHumor,1682859,86574,51641920,70
ColliderVideos,109228,8490,3905050,53
Collins Key,5996526,109520,73162789,8
colourpopcosmetics,12291,138,290848,4
Comedy Central,42191,1465,4753081,7
Comicbook.com,57358,4695,4166744,12
Commercials Funny,49,7,22034,1
communitychannel,125520,14725,1596177,6
Complex,762025,41550,28008346,27
CondÃƒÂ© Nast Traveler,2742,763,453497,8
Confuse News,375,156,182858,2
ConnorFranta,788069,7881,5614775,32
Conor Maynard,2207131,42292,44469933,5
Context Information Security,33,6,7392,2
Corinne Leigh,254981,1853,3083103,7
Corridor,124160,6987,3098057,5
Cosmopolitan.com,16652,223,660892,6
COVERGIRL,1542,241,53276,5
Cracked,312732,21765,10051250,26
Crafty Panda,41,2,16433,2
CrashCourse,9697,847,261871,6
CrashRacing,113482,7036,22199905,8
CrazyLaughAction,1020,33,494534,4
CrazyRussianHacker,1050375,59716,39791129,33
Cristi Cristian,10723,451,1556025,2
CrossKut316,1238,4,227777,2
CrowsEyeProductions,31161,1465,2122761,5
Crusoe the Celebrity Dachshund,17782,634,731637,6
CS Dojo,27518,549,599996,4
Cultaholic,21459,936,847019,5
CupcakeJemma,99824,1114,2254012,23
Cut,785850,13492,27331565,37
CyclingTips,132,18,9911,2
CYNVEVO,20054,976,665088,7
"Cyprus Air Heating, Cooling and Fireplaces",5103,1342,1259046,4
D3sports.com,554,326,181242,5
Daelric,768,22,98287,2
DaHoopSpot Productions,48,72,15532,6
Daily Caller,28040,671419,3527339,3
Daily Davidsons,9635,140,104586,4
Daisy Marquez,146736,12629,3331483,6
Dale Dai,17274,545,1392244,1
DamonAndJo,186228,4545,3015367,37
DanAndPhilGAMES,494934,1550,4033755,6
Dancing On Ice,0,0,1394268,4
Dancing With The Stars,33516,755,2325706,13
Dani Ochoa,1275579,42839,32321375,12
Daniel Howell,893415,3808,7298244,4
danisnotinteresting,106881,371,921606,5
dannotv,459,152,258506,1
Danny Sapko,15515,366,1018573,2
DanTDM,264151,2575,5093448,3
daronjay,27,0,10991,3
Darren Criss,32839,103,284049,5
Dave Lee,121078,5534,3343806,10
Davey Swatpaz,716,10,18832,2
David Archuleta,35414,542,786640,6
David Guetta,325741,11706,8199225,6
David Jardine,1723,57,136175,4
David Sistaro,9931,245,797804,7
David Steuer,49,7,27779,1
David Windestal,5265,169,170351,5
Davie504,133944,1977,2103375,7
Dawid Szmandra,37187,887,2324333,8
Daz Games,64731,1379,1000208,3
Dean Anderson,6,6,7325,1
Define American,0,0,7427,4
dekuNukem,19,2,4636,3
Demi Lovato,234786,4546,4197884,7
DemiLovatoVEVO,10006959,178654,181177688,22
Dennis Kapatos,8665,297,976061,6
Derek Hough,15402,1417,693299,9
Desi Perkins,702659,12859,10421452,22
Desktop Makes,404,3,10741,3
Despierta AmÃƒÂ©rica,2767,160,249627,6
Desus & Mero,5214,757,566387,4
devinsupertramp,12463,534,277859,2
Diet Coke,12143,31454,3660760,8
Dina Tokio,7408,243,149928,2
Diplo,518809,10882,12222339,13
Dish Nation,521,23,33230,3
Disney Descendants,167074,18876,8158025,6
Disney Movie Trailers,602565,63705,42465587,24
Disney Parks,9902,243,1009020,10
DisneyÃ¢â‚¬Â¢Pixar,6514921,189706,371016286,18
Disneyland Experience,564,27,28303,3
DisneyMusicVEVO,123420,3101,5916587,7
Dj Earworm,108031,12602,3034381,7
DJI,0,0,347586,4
DJSnakeVEVO,828883,12079,17011865,7
DKDKTV,1269,9,19662,3
Doctor Mike,13702,257,222545,4
Doctor Who,250148,44579,11648381,9
doddlevloggle,251649,2845,2336975,6
dodieVEVO,684266,6100,4684398,12
Dolan Twins,2369799,8339,18305623,12
Domain of Science,5590,34,62062,2
Domics,1762915,16055,24613246,14
Donald J. Trump Topic,7503,6968,1155214,3
DonDiablo,159065,2223,2329716,5
Donut Media,9557,152,482313,4
DoodleChaos,43253,571,1578502,5
dope2111,146435,7715,6915252,4
DopeBoyTroy,864,358,83768,5
DoritosÃ‚Â®,32086,991,1881906,2
Dorkly,223564,8181,7276493,6
Doug DeMuro,623963,29888,28634203,28
Doug Ellison,284044,19816,23832561,13
Doug Jones for Senate,8994,2826,893385,8
Dr. Sandra Lee (aka Dr. Pimple Popper),35197,2534,2176096,12
DraftExpress,27,2,3384,2
DragTimes,11475,2627,1577536,11
DrakeBellVEVO,3677,454,65973,1
DreamCastle_629,2493,210,333734,6
Drew Lynch,67470,596,1086603,11
DrMachakil,1963,27,77798,3
Dua Lipa,7096434,170972,124992796,13
Duan Mackenzie,18058,30,235838,3
Dude Perfect,12677510,174322,332128345,25
Duncan Sinfield,2506,85,576127,2
DunkFest,875,142,651570,6
Dustin Penner,13098,163,261544,4
Duston Ward,79719,4025,8898135,8
Dwarf Mamba,2750009,64063,49190093,8
Dylan Locke,3111,31,75929,2
E! Entertainment,199717,17310,28668844,67
E! Live from the Red Carpet,131115,10446,7042359,13
E! News,2092,998,378952,15
EA SPORTS FIFA,115440,5204,4566662,6
East Idaho News,391,485,317988,6
Eater,26417,2201,1922159,21
eba era,9,10,9699,3
Ed Sheeran,17115221,278081,400504946,17
edlover4real,29,4,6172,1
Edward Avila,70718,12877,1069816,8
ekaggrat singh kalsi,50,7,12787,2
ElbowVEVO,4563,306,335100,2
ElectroBOOM,242899,3091,3981785,13
Electron Dust,22,2,9353,2
ELLE,214535,2611,6332596,11
ElleOfTheMills,1744195,28758,15147270,19
ELLEUKTV,41590,3937,3091426,7
Ellie and Jared,409766,13991,7457580,13
EllieGouldingVEVO,54120,1267,677047,5
Elton John,3516,1261,408977,6
EltonJohnVEVO,15852,2450,5050726,6
Elvis Duran Show,3969,142,95505,6
EminemVEVO,20163046,923945,416007924,31
Emirates,12276,731,1771676,5
emma chamberlain,77824,661,897607,5
Emma Massingale,338,4,66436,4
emmymadeinjapan,59800,2270,1661782,12
Empire,1824,26,73730,3
empireofthesunvevo,17071,182,317301,2
End of Ze World,24815,6174,1251036,5
engineerguy,58385,265,826276,5
Enter Shikari,3959,158,99619,1
Entertainment Tonight,105998,35206,19418099,49
Entertainment Weekly,315,15,21321,6
EntertainmentVevo,29699,444,845262,1
Epicurious,50301,2619,2386207,2
Eric Strebel,1080,58,41509,10
Erin Noelle,58107,542,1268878,5
Errant Signal,13376,368,258330,5
ESPN,336801,63852,37258928,96
EstÃƒÂ©e Lalonde,12980,475,405897,3
Esther Bellido,47118,1343,3292899,5
ET Canada,29291,8811,5124037,6
euronews (in English),24314,3261,7353875,25
"European Space Agency, ESA",8185,329,659754,5
Eva Lunde Bentley,54861,932,2671536,8
Evan Edinger,50441,250,940371,6
Everyday Astronaut,53943,957,1697749,13
EverythingApplePro,110950,3587,3456350,5
EVNautilus,1981,7,89132,1
Exploring Alternatives,18617,238,466876,4
ExplosmEntertainment,2978600,89777,69368674,56
Extra Credits,95394,1229,1993489,6
F Milburn,18,11,11486,4
Facelesstech,6,0,3927,3
FacelesswithEyesOpen,62,0,5840,2
FaeryInLoveInc,3202,997,226629,4
FailArmy,82337,9699,6610961,3
FallOutBoyVEVO,2265559,50338,35972908,25
Famous Celebrities Snaps,89,49,4437501,11
Fancy Vlogs By Gab,39035,593,907355,2
fantano,32745,1451,1029580,9
FaZe Rug,1102574,209300,13665892,8
FBE,3457480,197662,103516267,50
FC Barcelona,246982,5812,9270318,29
Feast Of Fiction,42654,2497,1400086,12
Feelunique,756,20,87785,5
FerrasVEVO,3478,35,44195,3
FIFATV,51574,571,1812795,6
Fifty Shades,73076,12278,5697328,3
FiftyShadesVEVO,3538798,56303,86648549,25
FightHype.com,16341,4013,2680141,18
FILMWEBTV,15223,121,1338498,5
First Aid Kit,2666,15,70077,4
First We Feast,3564284,138356,84377565,93
Flash Rahbbit,319,15,13361,2
Fleur DeForce,262451,5319,5050456,18
flirppy242,235,3,80022,3
FliteTest,14602,169,319572,4
FloSports,298,42,116600,4
FlyFastandLow,26,0,12177,3
Focus Features,26811,2259,15971380,21
Fontgod,632,60,63389,5
Food Wishes,172319,5234,5405852,24
foofightersVEVO,114951,2160,3225798,8
Foot Locker,11524,429,15409025,10
Ford Europe,148,15,23852,2
Ford Motor Company,1710,110,302706,3
Forgotten Weapons,57987,439,1093644,5
fosterthepeopleVEVO,79537,2465,1448229,4
FOX,8854,1136,335797,10
Fox News,53665,14262,8989940,29
FOX Soccer,2864,269,330333,8
FOX Sports,16167,4044,3328895,21
FoxSearchlight,7502,318,1362374,4
Frank May,25467,1324,1669331,4
Frankie Vision,1857,26,220548,1
FRANKIEmusicVEVO,480,34,14223,2
Freddie Lister,81610,9831,7151971,7
FreeDawkins,3847,60,246361,9
Freedom of the Press Foundation,29479,2524,4278714,12
Freeform,219,2,7978,1
Freemeo,82,7,21441,2
FrenchMontanaVEVO,668861,23903,18885554,7
Frog The Rooster,1841,35,463694,2
FrownsUpsideDown,266,3,43332,4
Fueled By Ramen,2422446,43598,33174757,39
Full Frontal with Samantha Bee,494193,257262,32973495,63
Function,9338,155,344879,7
FundingCircleUK,133,22,664053,2
Funny Commercials,21931,693,2821311,3
Funny New Videos,20812,774,2594748,4
Funny News,7254,265,870774,2
Funny Or Die,7780,790,494239,9
FX Networks,92029,3561,4453454,22
Galantis,80096,1120,1467304,5
gamelovercommercials,2040,356,123153,6
GamingWithJen,160123,10220,5204680,7
Gatorade,2535,31,2031164,2
Gcincorp Ecommerce and Real Estate,1622,1110,945599,7
GEazyMusicVEVO,10929141,434011,415888915,31
geicocaveman2012,1907,78,530967,3
Genius,178361,9183,3357035,15
Genuine Survival Research Labs,185,12,39113,2
Geoff Mallinson,6,11,14363,3
Gerry Litwin,688190,52702,38140887,12
Gigi Gorgeous,74520,46595,2505629,7
GinWigmoreVEVO,814,27,10682,2
Glam&Gore,802161,7791,9775183,24
Glamour Magazine,370347,7430,11532705,8
GoDucksdotcom,20,4,1391,2
GohmertTX01,2069,1318,260000,6
Golden State Warriors,9194,123,513465,4
Gondwana Collection Namibia,1878,59,213584,1
Good Morning America,77304,1978,4252433,23
Good Morning Britain,3657,450,702210,7
Good Mythical Morning,864332,102291,38962432,57
Goodwillsandusky,7688,164,1064013,4
Google,601708,37964,17218420,20
GoPro,277131,5362,18077756,31
GQ,261404,9725,11399137,17
Grace Helbig,556525,9148,9487102,52
GraceVanderWaalVEVO,1536151,14467,18562724,13
Graham The Christian,391317,45956,12484874,7
grandayy,349680,11435,5050182,6
Grandpa Kitchen,115852,2478,3023782,7
grav3yardgirl,127646,5666,2798217,11
GrDrtube,42,0,14289,1
Great Big Story,390559,6030,13713854,72
GreatScott!,94187,2359,2270837,11
greeenpro,187,33,33547,3
Green Day,581275,12502,8817596,11
Gregg Peterson,56,173,20581,3
greyson97,21398,117,219215,5
Grist,37,2,3133,1
Groupon,7557,1663,26402350,7
Guardian News,102314,30766,17929278,53
Guava Juice,112851,15976,5706756,6
Guinness World Records,681,25,28539,1
Guldies,51856,254,668256,5
Gus Johnson,985535,47049,22635550,44
Guy Tang,206386,9198,7508430,7
GwenStefaniVEVO,21607,1620,1414601,6
gzumwalt,360,180,81483,6
H&M,29868,2597,2623070,8
HACKADAY,1092,33,36823,14
HaileeSteinfeldVEVO,1488006,16658,39712033,9
HaimVEVO,43455,941,1128822,5
Hak5,599,119,22417,2
Half as Interesting,539730,18579,18013582,39
Halfway Anywhere,2617,38,231541,4
HalseyVEVO,1745618,28386,29834129,7
Hamilton: An American Musical,215956,4599,3672322,7
Hannah Meloche,25192,153,327407,4
Hannah Stocking,2649294,160148,76219450,42
Hannah Witton,6524,56,54584,2
HANSE Ã­â€¢Å“Ã¬â€žÂ¸,49759,508,1230525,10
HANSON,17078,784,688533,10
HARRY,0,0,15311,4
HarryStylesVEVO,1619656,18449,13938107,6
Haru the Shiba Inu,5917,65,109804,2
Hayley Kiyoko,824502,8183,11254749,6
Hazel Hayes,57382,330,1021787,6
HBO,624921,29712,114005214,35
Healthcare Triage,7486,51,119893,8
Helen Anderson,12284,250,232032,3
HellthyJunkFood,486215,26466,15348987,51
Henry Prince Mak,77238,1400,552535,6
heroedelahistoria,511,30,294757,6
Hevesh5,500694,29933,41078824,36
heyitsfeiii,125807,1731,3295686,5
Highlight Heaven,247385,17107,15912747,15
Highsnobiety,4017,129,144133,5
HiHo Kids,11375,82,293612,2
Hillsong Worship,30419,545,632268,4
Hin Nya,7032,77,218855,1
Hollyscoop,841,102,79137,3
HollywoodLife,207679,55561,39219073,19
Honda,1883,601,347229,6
Hope For Paws - Official Rescue Channel,702346,8930,15873226,29
Hopeless Records,44252,537,661607,3
Horizon Productions SFL,68631,4059,11218319,9
HOT 97,328942,2859,7850299,6
Hot Dad,1172,18,13676,1
HOTSPOTATL,43,12,9331,3
HouzzTV,53220,1252,3003540,7
How Ridiculous,27566,326,913918,4
How To Cake It,439035,5641,10862282,23
How To Cook That,229220,5746,7427326,30
How to DAD,35311,1389,1122334,8
How To Make Everything,136714,4269,5041776,17
Howl Of A Dog,207941,2559,6549569,5
HowToBasic,303361,37153,6599715,3
hp_overload,186067,24962,6599794,7
HQVideoDude,41464,164,717486,5
Hudson Moore,15891,719,1581744,8
